"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
219			"base"	"interview"	2020-06-08 13:22:27	1	25	1	2	4	5	5	5	14	1	200	"03:00"	10	67	24	32	11	8	18	170		2020-06-08 13:25:18	T	F	7	7	0	0	1.28	15
220			"base"	"interview"	2020-06-08 13:27:55	1	25	1	2	2	5	2	2	14	2	400	"04:00"	23	113	36	53	23	10	74	279		2020-06-08 13:33:27	T	F	7	7	0	0	0.68	0
221			"base"	"interview"	2020-06-08 13:29:59	2	18	1	2	2	4	2	4	14	2	40	"03:00"	26	85	77	84	34	23	29	292		2020-06-08 13:35:57	T	F	7	7	0	0	0.54	0
222			"base"	"interview"	2020-06-08 13:32:56									14	2			6	13						19		2020-06-08 13:33:15	F	F	2	2	100	100	2.71	116
225			"base"	"interview"	2020-06-08 13:40:27	1	18	1	2	1	5	2	4	15	1	200	"03:00"	20	28	17	60	15	13	14	167		2020-06-08 13:43:14	T	F	7	7	0	0	1.22	17
226			"base"	"interview"	2020-06-08 13:43:01									15	3		"04:00"	8	87						95		2020-06-08 13:44:36	F	F	2	2	0	0	1.22	20
227			"base"	"interview"	2020-06-08 13:44:43	1	20	1	2	1	5	2	4	15	3	300	"04:00"	3	10	23	44	27	6	33	146		2020-06-08 13:47:09	T	F	7	7	0	0	1.57	64
230			"base"	"interview"	2020-06-08 13:53:01	1	20	1	2	4	5	3	4	16	4	200	"04:00"	3	66	13	36	19	10	18	165		2020-06-08 13:55:46	T	F	7	7	0	0	1.45	38
231			"base"	"interview"	2020-06-08 13:54:29	1	19	1	2	2	5	2	4	16	4	4	"04:00"	20	43	14	32	12	7	17	145		2020-06-08 13:56:54	T	F	7	7	0	0	1.36	20
232			"base"	"interview"	2020-06-08 14:03:41	1	20	1	2	3	5	2	5	16	1	50	"02:00"	12	31	21	46	14	6	12	142		2020-06-08 14:06:03	T	F	7	7	0	0	1.42	21
233			"base"	"interview"	2020-06-08 14:04:29	1	20	1	2	3	5	2	5	16	1	70	"04:00"	44	79	22	56	14	8	14	237		2020-06-08 14:08:26	T	F	7	7	0	0	1.02	10
234			"base"	"interview"	2020-06-08 14:11:36	1	18	1	2	4	4	3	2	16	2	80	"02:30"	3	97	29	40	17	13	56	220		2020-06-08 14:15:51	T	F	7	7	0	0	1.12	30
236			"base"	"interview"	2020-06-08 14:20:48	2	20	1	2	2	4	3	3	16	3	20	"03:00"	55	159	27	106	33	12	32	424		2020-06-08 14:27:52	T	F	7	7	0	0	0.57	0
238			"base"	"interview"	2020-06-08 14:26:26							1	5	16	3		"12:10"	14	205	36					105		2020-06-08 14:30:41	F	F	3	3	0	0	0.67	1
240			"base"	"interview"	2020-06-08 14:46:32	2	24	1	2	4	5	4	5	17	3	750	"02:00"	339	69	34	44	42	12	24	240		2020-06-08 14:55:56	T	F	7	7	0	0	0.67	0
241			"base"	"interview"	2020-06-08 14:55:52	2	19	1	2	2	5	3	4	17	2	500	"02:00"	10	11	24	674	12	8	19	127		2020-06-08 15:08:30	T	F	7	7	0	0	1.37	40
242			"base"	"interview"	2020-06-08 15:11:11	2	54	1	2	1	3	2	2	18	1	120	"01:00"	32	91	120	128	39	13	28	356		2020-06-08 15:18:42	T	F	7	7	0	0	0.52	0
243			"base"	"interview"	2020-06-08 15:11:25	2	55	1	2	5	3	2	2	18	1	200	"01:30"	46	209	62	79	26	14	27	309		2020-06-08 15:19:08	T	F	7	7	0	0	0.54	0
245			"base"	"interview"	2020-06-08 15:55:56	1	19	-1	2	2	4	3	4	18	2	100	"05:00"	7	61	42	43	18	8	15	194		2020-06-08 15:59:10	T	F	7	7	0	0	1.19	13
246			"base"	"interview"	2020-06-08 16:01:47	2	23	1	2	3	5	4	4	18	3	250	"01:30"	28	107	84	114	92	8	44	348		2020-06-08 16:09:44	T	F	7	7	0	0	0.51	1
253			"base"	"interview"	2020-06-08 16:41:04									18	4		"3373"	32	70						102		2020-06-08 16:42:46	F	F	2	2	100	100	0.62	0
259			"base"	"interview"	2020-06-08 16:44:12							3	5	18	4	200	"02:00"	12	91	19	22				144		2020-06-08 16:46:36	F	F	4	4	0	0	1.27	18
260			"base"	"interview"	2020-06-08 16:46:03	1	19	1	2	3	5	4	5	18	4	250	"02:30"	3	21	35	65	31	11	155	187		2020-06-08 16:51:24	T	F	7	7	0	0	1.24	39
261			"base"	"interview"	2020-06-08 16:48:32	1	53	1	2	4	5	2	5	18	4	250	"02:00"	8	20	13	14	23	11	27	116		2020-06-08 16:50:28	T	F	7	7	0	0	1.72	40
262			"base"	"interview"	2020-06-08 16:48:47	1	18	1	2	2	5	2	5	18	4	2000	"02:00"	2	20	19	19	20	6	28	114		2020-06-08 16:50:41	T	F	7	7	0	0	1.81	73
264			"base"	"interview"	2020-06-08 16:52:22	2	21	1	2	2	5	5	4	19	2	1000	"03:30"	39	36	28	75	13	8	20	219		2020-06-08 16:56:01	T	F	7	7	0	0	1.03	10
265			"base"	"interview"	2020-06-08 17:16:27	1	20	1	2	4	5	2	4	19	3	200	"02:00"	50	89	40	58	45	8	27	317		2020-06-08 17:21:44	T	F	7	7	0	0	0.67	1
266			"base"	"interview"	2020-06-08 17:18:23	1	56	1	2	2	5	2	4	19	3	250	"02:00"	19	72	38	38	42	11	13	233		2020-06-08 17:22:18	T	F	7	7	0	0	0.9	5
270			"base"	"interview"	2020-06-08 17:42:50	1	50	1	2	1	5	3	5	20	1	50	"01:30"	63	134	62	62	40	15	24	400		2020-06-08 17:49:30	T	F	7	7	0	0	0.54	0
271			"base"	"interview"	2020-06-08 17:55:04	2	25	1	2	2	2	4	5	20	2	50	"03:00"	7	49	17	33	14	6	20	146		2020-06-08 17:57:30	T	F	7	7	0	0	1.44	22
272			"base"	"interview"	2020-06-08 17:57:07									20	2			21	27						48		2020-06-08 17:57:55	F	F	2	2	100	100	1.36	26
273			"base"	"interview"	2020-06-08 17:58:32	1	50	1	2	5	5	-1	-1	21	3	3	"01:00"	3	78	42	13	24	14	30	204		2020-06-08 18:01:56	T	F	7	7	0	0	1.37	44
275			"base"	"interview"	2020-06-08 18:04:44	1	21	1	2	4	4	4	5	21	2	5000	"03:00"	2	41	71	58	70	12	33	193		2020-06-08 18:09:31	T	F	7	7	0	0	1.02	47
279			"base"	"interview"	2020-06-08 18:19:08	1	20	1	2	2	5	1	3	21	1	200	"02:30"	58	109	49	95	77	31	26	368		2020-06-08 18:26:33	T	F	7	7	0	0	0.44	0
282			"base"	"interview"	2020-06-08 19:08:38	1	20	1	2	5	5	1	4	21	4	2500	"03:00"	4	87	18	24	23	13	16	185		2020-06-08 19:11:43	T	F	7	7	0	0	1.4	29
286			"base"	"interview"	2020-06-08 19:24:18	1	55	1	2	2	4	1	5	22	3	150	"02:00"	12	22	13	18	42	8	15	130		2020-06-08 19:26:28	T	F	7	7	0	0	1.58	32
288			"base"	"interview"	2020-06-08 19:33:36			1	2	2	5			22	2	500		29	41	75					95		2020-06-08 19:36:01	F	F	3	3	0	0	0.72	6
289			"base"	"interview"	2020-06-08 19:37:57	1	46	1	2	2	5	3	5	22	1	500	"02:30"	4	7	25	16	22	11	28	113		2020-06-08 19:39:50	T	F	7	7	0	0	1.75	80
290			"base"	"interview"	2020-06-08 19:48:50	1	50	1	2	3	3	4	5	22	4	250	"03:00"	45	49	55	58	104	9	16	254		2020-06-08 19:54:26	T	F	7	7	0	0	0.74	3
291			"base"	"interview"	2020-06-08 19:54:45	1	21	1	2	4	4	3	2	22	2	700	"02:30"	14	284	46	67	28	7	14	231		2020-06-08 20:02:25	T	F	7	7	0	0	0.86	6
293			"base"	"interview"	2020-06-08 19:55:54	1	54	1	2	5	5	3	5	22	2	100	"02:45"	76	55	44	72	22	14	21	243		2020-06-08 20:00:58	T	F	7	7	0	0	0.71	0
296			"base"	"interview"	2020-06-08 20:10:14	1	21	1	2	-9	5	1	5	23	3	300	"02:30"	27	84	21	25	25	17	14	213		2020-06-08 20:13:47	T	F	7	7	10	10	1	10
299			"base"	"interview"	2020-06-08 20:20:33	2	54	1	2	5	5	2	4	23	4	150	"02:30"	647	67	28	27	28	16	13	194		2020-06-08 20:34:19	T	F	7	7	0	0	0.9	9
300			"base"	"interview"	2020-06-08 20:20:46									23	4		"0:443"	25	100141						80		2020-06-08 20:22:41	F	F	2	2	100	100	0.29	0
301			"base"	"interview"	2020-06-08 20:22:19	1	51	1	2	1	5	2	5	23	1	100	"03:00"	49	24	27	43	27	17	13	200		2020-06-08 20:25:40	T	F	7	7	0	0	1.07	14
302			"base"	"interview"	2020-06-08 20:23:53	1	18	1	2	2	5	1	4	23	1	100	"04:00"	28	69	38	84	17	12	27	275		2020-06-08 20:28:29	T	F	7	7	0	0	0.76	2
304			"base"	"interview"	2020-06-08 20:26:39	2	20	2	2	3	5	2	1	23	4	250	"06:00"	44	152	29	43	21	7	9	305		2020-06-08 20:31:44	T	F	7	7	0	0	1.03	12
